# Source: Peter Ertl supplementary table from 10.1021/acs.jnatprod.8b01022
FG animals plants fungi bacteria synth.
O[Cal] 52.81 62.42 58.26 64.49 6.22
[R]O[R] 21.2 37.91 33.62 32.99 42.06
C=C 50.35 40.82 34.22 21.69 4.04
[R]OC([R])=O 26.32 28.92 29.05 28.98 9.01
[R]N([R])C([R])=O 9.79 2.67 12.96 33.51 55.97
O[Car] 11.31 29.84 34.25 33.18 3.52
[Nar] 12.89 4.84 9.03 22.42 56.33
O=[Car] 7.85 13.96 18.39 20.36 14.63
[R]OCO[R] 10.23 26.7 6.09 23.19 2.06
[R]C([R])=O 11.39 16.11 19.23 15.71 3.87
[R]C(O)=O 10.53 8.93 14.1 22.06 4.4
[Oar] 6.1 15.47 13.31 7.18 13.25
[R]N([R])[R] 3.21 6.62 1.06 6.24 21.49
[R]Cl 3.12 0.86 3.89 6.69 18.94
[R]OC(=O)C=C 7.44 14.47 4.4 3.19 0.3
[Sar] 0.93 0.19 0.04 4.18 17.04
[R]C(=O)C=C 5.38 6.31 6.5 3 0.37
[R]N[R] 3.44 1.85 0.9 5.92 7.96
C=CC=C 5.62 1.89 3.95 8.17 0.04
N[Cal] 3.32 0.55 1.38 13.01 1.14
[R]F 0.03 0.01 0.01 0.1 17.44
[R]Br 6.82 0.84 0.2 0.85 6.32
C1CO1 5.46 3.5 4.02 1.55 0.08
[R]S[R] 0.71 0.14 1.04 2.03 9.22
[R]N([R])S([R])(=O)=O 0.01 0 0 0.01 12.72
[R]OCO 1.93 2.32 2.28 5.55 0.03
[R]C=O 2.04 2.34 3.33 2.72 0.27
C=[Car] 1 0.5 0.93 0.74 4.37
N[Car] 1.73 0.13 0.47 3.06 1.87
[R]OS(O)(=O)=O 4.78 0.45 0.32 1.07 0
[R]N(=O)=O 0.04 0.1 0.24 1.44 4.74
[R]N([R])C(=O)N([R])[R] 0.17 0.05 0.04 1.52 4.51
[R]N=C(N([R])[R])N([R])[R] 1.7 0.1 0.12 3.76 0.11
OC(=O)C=C 0.73 1.29 2.23 1.04 0.05
[R]N([R])C(=O)C=C 0.95 0.65 0.56 2.02 1.1
[R]OCOC([R])=O 0.27 3.27 0.76 0.29 0.02
[R]OC(=O)N([R])[R] 0.37 0.17 0.01 2.57 1.27
C#N 0.33 0.16 0.03 0.41 2.95
[R]OC(=O)C=CC=C 0.52 0.42 1.12 1.16 0.01
C=CC=O 0.72 0.98 1.15 0.23 0
C=CC=CC=C 0.62 0.17 0.53 1.47 0.01
[R]S([R])(=O)=O 0.2 0.03 0.07 0.03 2.43
C#C 1.34 0.23 0.23 0.46 0.46
[R]N(C([R])=O)C([R])=O 0.25 0.08 0.24 0.57 1.48
[R]N=[Car] 0.67 0.01 0.07 0.69 1.02
[R]N([R])C(=O)C(=C)N([R])C([R])=O 0.25 0.01 0.37 1.61 0.12
[R]C(=O)C=CC=C 0.24 0.28 0.87 0.94 0.01
[R]N(O)C([R])=O 0.01 0.01 0.13 1.85 0.01
[R]N([R])C=O 0.81 0.14 0.05 0.91 0.04
[R]OO[R] 1.48 0.19 0.22 0.05 0
[R]N([R])CN([R])C([R])=O 0.09 0.03 1.09 0.46 0.2
[R]OCOCO[R] 0.34 0.52 0.21 0.78 0.01
[R]N([R])C(=O)C=CC=C 0.18 0.17 0.22 1.25 0.02
[R]N=C 0.28 0.42 0.05 0.4 0.67
[R]C(=O)C=CO 0.06 0.17 1.09 0.47 0.02
C=CC(=O)C=C 0.74 0.56 0.37 0.09 0.04
[R]N(CO)C([R])=O 0.1 0.04 0.41 1.21 0.01
[R]OC=CC([R])=O 0.1 0.26 1.08 0.2 0.01
[R]OC=C 0.23 0.39 0.48 0.51 0.03
[R]OC(=O)C1CO1 0.99 0.43 0.13 0.08 0.01
[Nar+] 0.91 0.24 0.11 0.2 0.13
C=CC#C 1.08 0.17 0.24 0.01 0
[R][N+]([R])([R])[R] 0.63 0.3 0.18 0.18 0.07
[R]SS[R] 0.28 0.07 0.72 0.28 0
[R]I 0.33 0.04 0.01 0.03 0.94
S=[Car] 0 0 0.01 0.07 1.24
[R]N(C=C)C([R])=O 0.26 0.23 0.28 0.5 0.04
[R]OCN([R])[R] 0.39 0.36 0.07 0.3 0.09
[R]N([R])C(=S)N([R])[R] 0.01 0 0.01 0.01 1.14
[R]OO 0.65 0.41 0.08 0.02 0
[R]S([R])=O 0.2 0.13 0.19 0.35 0.27
OC(=O)C=CC=C 0.05 0.08 0.5 0.49 0
[R]OC=CC(=O)O[R] 0.14 0.38 0.23 0.24 0.01
[R]C(=O)C1CO1 0.07 0.18 0.42 0.31 0.01
C=CC1CO1 0.3 0.16 0.2 0.32 0
[R]SC=N[R] 0.2 0 0 0.74 0.02
[R]S(O)(=O)=O 0.61 0.05 0.02 0.21 0.06
[R]OCN([R])C([R])=O 0.15 0.04 0.18 0.47 0.09
[R]N([R])C(=O)C([R])=O 0.22 0.01 0.04 0.57 0.08
[R][N+]#[C-] 0.47 0.01 0.04 0.38 0
[R]C(=O)C=CC([R])=O 0.16 0.11 0.61 0.01 0
[R]OC(O[R])O[R] 0.05 0.32 0.05 0.46 0
[R]C([O-])=O 0.4 0.11 0.2 0.16 0
C#CC#C 0.57 0.2 0.05 0.01 0
[R]N=CN([R])[R] 0.07 0.03 0.04 0.6 0.07
C=CC=CC=CC=C 0.09 0.02 0.17 0.52 0
[R]N([R])N([R])C([R])=O 0 0 0.04 0.71 0.03
[R]N1CC(=O)N([R])C1=O 0.1 0 0.01 0.01 0.64
[R]OCOC=C 0.01 0.2 0.28 0.27 0
[R]N([R])([R])=O 0.12 0.51 0.05 0.08 0
[R]N([R])C(=O)C(=CO)C([R])=O 0.03 0 0.39 0.33 0
[R]OC=N[R] 0.2 0.01 0.04 0.46 0.02
[R]C(=O)C(O)=C 0.21 0.21 0.26 0.04 0
[R]C(=O)C=CC1CO1 0.1 0.05 0.12 0.44 0
[R]C(=O)OCO 0.03 0.06 0.54 0.07 0
[R]OC(=O)C=CN=[Car] 0 0 0 0 0.67
[R]OP(O)(O)=O 0.22 0.01 0.08 0.35 0.01
ClC=C 0.2 0.04 0.06 0.3 0.04
[R]C(=O)C=[Car] 0 0.04 0.55 0.03 0.02
[R]N([R])C(=O)C=NO 0.57 0 0.02 0.05 0
[R]OC(=O)C=CC=CC=C 0.08 0.05 0.18 0.32 0
[R]C(=O)C=CC=CC=C 0.19 0.05 0.28 0.1 0
[R]OCOCOC=CC(=O)O[R] 0.05 0.55 0 0 0
[R]N=C=S 0.42 0.05 0 0.13 0
[R]S 0.11 0.07 0.03 0.17 0.22
[R]C(=O)C(=CO)C(O)=O 0 0 0.04 0.55 0
[Oar+] 0.07 0.51 0.01 0 0
[R]N(O)C=O 0 0 0.01 0.55 0
[R]N([R])CO 0.09 0.23 0.01 0.21 0
[R]C(=O)OC=C 0.07 0.13 0.26 0.07 0.01
C=CC=CC=CC=CC=C 0.03 0.01 0.07 0.43 0
[Nar]N=C 0 0 0 0.01 0.52
O[Nar] 0 0.01 0.32 0.19 0.01
C=CC(=O)C1CO1 0.02 0.05 0.43 0.03 0
[R]N([R])N=C 0 0 0 0 0.53
BrC=C 0.41 0.05 0.01 0.03 0.02
[R]C(=O)OCOC=C 0.34 0.15 0.02 0 0
[R]ON=CC(=O)N([R])[R] 0.46 0 0.02 0.01 0.02
[R]C(=O)C(=CO)C([R])=O 0.02 0.11 0.09 0.29 0
[R]N(N=C)C([R])=O 0 0 0 0.18 0.3
[R]N([R])C(=O)N([R])C([R])=O 0.05 0 0.01 0.02 0.39
[R]N([R])C(=O)C=CC=CC=C 0.06 0 0.07 0.34 0
[R]N([R])C(=S)N([R])C([R])=O 0 0 0 0 0.47
[R]SC([R])=O 0.06 0.02 0.02 0.33 0.03
[R]OCOCO 0.06 0.17 0.15 0.06 0.02
[R]SC1CC(=O)N1C(=C)C(O)=O 0 0 0.07 0.38 0.01
[R]N([R])C=CC([R])=O 0.01 0.02 0.02 0.12 0.28
[R]N([R])C(=O)C(=O)N([R])[R] 0.03 0 0.01 0 0.41
OC(=O)C=CC=CC=C 0 0 0.1 0.35 0
[R]N([R])CN([R])[R] 0.24 0.1 0.05 0.02 0.04
C=CC#CC#C 0.21 0.14 0.09 0.01 0
[R]C(=O)C(Cl)=[Car] 0 0 0.44 0 0
[R]C([Nar])=O 0.02 0.04 0.07 0.11 0.17
[R]OC(=CBr)C(Br)=C 0.41 0 0 0 0
[R]OP(O)(=O)O[R] 0.2 0.02 0.02 0.15 0.01
[R]N(C=C)C=O 0.28 0.01 0.01 0.1 0
C=CC=CC=CC=CC=CC=CC=C 0.01 0.01 0.02 0.36 0
ON=C 0.03 0 0.01 0.27 0.08
[R]N([R])C(=O)C(O)=CC([R])=O 0 0 0 0 0.37
[R]N([R])C=C 0.12 0.1 0.03 0.01 0.1
[R]OC=O 0.07 0.14 0.1 0.04 0
O=[Nar] 0.01 0.02 0.04 0.22 0.06
[R]OC(=C)C([R])=O 0.1 0.18 0.06 0.01 0
[R]OCOCOC=C 0 0.35 0 0 0
[R]C(=O)C(O)=O 0.01 0.02 0.1 0.22 0
[R]OC(=O)C(O[R])=CC=C 0 0 0 0.35 0
C=CC=CC=CC=CC=CC=CC=CC=CC=C 0.16 0.02 0.01 0.16 0
[R]OC=CN([R])C([R])=O 0 0 0 0.34 0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C 0.06 0.02 0.01 0.25 0
[R]N([R])C=[Car] 0.08 0.01 0.04 0.02 0.19
[R]OC(=O)C=CC([R])=O 0.05 0.09 0.17 0.02 0
[R]N([R])S(=O)(=O)N([R])[R] 0 0 0 0 0.33
[R]SCN([R])C([R])=O 0 0 0.05 0.07 0.2
[R]ON([R])C([R])=O 0.01 0.07 0.11 0.07 0.06
[R]OCOCN([R])C([R])=O 0.15 0 0 0.17 0
