# Source: Peter Ertl supplementary table from 10.1021/acs.jnatprod.8b01022
FG DNP OpenNP synthetic
O[Cal] 61.07 69.5 6.22
C=C 39.85 39.8 4.04
[R]O[R] 35.24 45.45 42.06
[R]OC([R])=O 28.65 26.01 9.01
O[Car] 28.43 40.6 3.52
[R]OCO[R] 22.55 18 2.06
[R]C([R])=O 15.86 20.06 3.87
O=[Car] 14.17 16.84 14.63
[Oar] 13.6 14.08 13.25
[R]OC(=O)C=C 11.86 8.79 0.3
[R]C(O)=O 10.58 14.52 4.4
[Nar] 7.44 15.9 56.33
[R]N([R])C([R])=O 6.73 10.16 55.97
[R]C(=O)C=C 5.98 9.46 0.37
[R]N([R])[R] 5.66 4.77 21.49
C1CO1 3.63 3.54 0.08
C=CC=C 2.97 4.23 0.04
[R]OCO 2.51 3.57 0.03
[R]OCOC([R])=O 2.47 1.65 0.02
[R]C=O 2.43 4.39 0.27
[R]N[R] 2.23 15.66 7.96
N[Cal] 1.85 4.19 1.14
[R]Cl 1.84 1.58 18.94
[R]Br 1.45 0.31 6.32
OC(=O)C=C 1.3 1.87 0.05
[R]OS(O)(=O)=O 0.97 0.24 0
C=CC=O 0.91 1.06 0
[R]N([R])C(=O)C=C 0.78 0.79 1.1
C=[Car] 0.61 2.33 4.37
N[Car] 0.56 5.53 1.87
[R]OC(=O)C=CC=C 0.56 0.42 0.01
[Sar] 0.55 0.81 17.04
[R]N=C(N([R])[R])N([R])[R] 0.55 5.2 0.11
C=CC(=O)C=C 0.53 0.21 0.04
[R]OCOCO[R] 0.49 0.36 0.01
[R]OC(=O)C1CO1 0.44 1.24 0.01
[R]S[R] 0.43 0.8 9.22
[R]OCOCOC=CC(=O)O[R] 0.4 0.4 0
[R]OC=C 0.39 0.56 0.03
[R]N([R])([R])=O 0.39 0.08 0
[R]OO 0.38 0.12 0
[R]C(=O)C=CC=C 0.38 0.31 0.01
[Oar+] 0.38 1.22 0
[R]N=C 0.37 0.15 0.67
C#C 0.37 9.51 0.46
C=CC=CC=C 0.35 1.28 0.01
[R]OC(=O)N([R])[R] 0.35 0.24 1.27
[R]OC=CC(=O)O[R] 0.33 0.18 0.01
[R]OCN([R])[R] 0.33 1.52 0.09
[R]OO[R] 0.33 0.72 0
[R]OC=CC([R])=O 0.32 0.3 0.01
[R][N+]([R])([R])[R] 0.31 0.31 0.07
[Nar+] 0.3 2.43 0.13
[R]C(=O)C=CO 0.27 0.27 0.02
[R]OC(O[R])O[R] 0.27 0.1 0
C=CC#C 0.27 0.15 0
[R]N([R])C(=O)C=CC=C 0.26 0.2 0.02
[R]N(C=C)C([R])=O 0.26 0.15 0.04
[R]N([R])C=O 0.26 0.14 0.04
[R]OCOCOC=C 0.25 0.13 0
C#CC#C 0.22 0.08 0
[R]C(=O)C(O)=C 0.2 0.15 0
[R]N(=O)=O 0.2 0.21 4.74
[R]C(=O)C1CO1 0.2 0.17 0.01
[R]N([R])CO 0.19 1.09 0
[R]OCOC=C 0.19 0.1 0
[R]N([R])C(=O)C(=C)N([R])C([R])=O 0.19 0.31 0.12
C#N 0.19 0.1 2.95
C=CC1CO1 0.19 0.1 0
[R]N([R])C(=O)N([R])[R] 0.17 0.18 4.51
[R]N([R])CN([R])C([R])=O 0.17 0.62 0.2
[R]N(CO)C([R])=O 0.17 0.26 0.01
[R]SS[R] 0.17 4.66 0
[R]C(=O)C=CC([R])=O 0.16 0.17 0
[R]OC(=O)C=CN([R])[R] 0.16 0.02 0.08
[R]S([R])=O 0.16 0.08 0.27
[R]N(O)C([R])=O 0.16 0.24 0.01
OC(=O)C=CC=C 0.15 0.19 0
[R]C(=O)OCOC=C 0.15 0.03 0
[R]OCOC(=O)C=C 0.15 0.08 0
[R]N(C([R])=O)C([R])=O 0.15 0.14 1.48
[R]OCOCO 0.15 0.21 0.02
[R]OC(=C)C([R])=O 0.15 0.11 0
[R]C([O-])=O 0.15 0 0
[R]N=[Car] 0.14 0.03 1.02
[R]OCOCOC=CC(O)=O 0.13 0.08 0
[R]C(=O)OC=C 0.13 0.62 0.01
C=CC#CC#C 0.13 0.04 0
[R]OC=O 0.12 0.05 0
[R]S(O)(=O)=O 0.12 0.36 0.06
[R]C(=O)C(=CO)C([R])=O 0.11 0.07 0
[R]N([R])CN([R])[R] 0.11 2.08 0.04
[R]C(=O)OCO 0.1 0.24 0
[R]OC(=O)C=CC([R])=O 0.09 0.05 0
[R]OCN([R])C([R])=O 0.09 0.1 0.09
BrC=C 0.09 0.01 0.02
[R]C(=O)C=CC1CO1 0.09 0.07 0
[R]N=C=S 0.09 0.03 0
[R]N([R])C=C 0.09 0.61 0.1
[R]C(=O)C=CC=CC=C 0.09 0.07 0
[R][N+]#[C-] 0.09 0.04 0
ClC=C 0.08 0.06 0.04
[R]N([R])C(=O)C([R])=O 0.08 0.07 0.08
C=CC=CC=CC=C 0.08 0.08 0
C=CC(=O)C1CO1 0.08 0.1 0
[R]C(=O)C([R])=O 0.08 0.03 0.01
C1OC1C2CO2 0.08 0.03 0
[R]N=CN([R])[R] 0.08 0.05 0.07
[R]OC(=O)C=CC=CC=C 0.08 0.1 0
[R]SC=N[R] 0.08 0.09 0.02
[R]C(=O)C=[Car] 0.08 0.14 0.02
[R]S 0.08 0.07 0.22
[R]OC=N[R] 0.07 0.11 0.02
[R]OCSC=NOS(O)(=O)=O 0.07 0.03 0
[R]N([R])C(=O)C=NO 0.07 0.01 0
[R]N([R])C(=O)C(=CO)C([R])=O 0.07 0.1 0
[R]OC(=O)C=CC1CO1 0.07 0.03 0
[R]ON([R])C([R])=O 0.07 0.06 0.06
C=COC(=O)C=C 0.07 0.7 0
[R]I 0.07 0.02 0.94
[R]OC(O)C(O[R])O[R] 0.06 0.01 0
[R]ON=CC(=O)N([R])[R] 0.06 0.01 0.02
C=CC=CC=O 0.06 0.04 0
[R]C(=O)C=C(O)C=C 0.06 0.05 0
C=CC=[Car] 0.06 0.25 0.05
[R]N([R])N([R])C([R])=O 0.06 0.1 0.03
[R]OP(O)(O)=O 0.06 0.04 0.01
[R]OC(=CBr)C(Br)=C 0.05 0 0
[R]OC(=O)C(=C)C=C 0.05 0.06 0
OC(=C)C(=O)C=C 0.05 0.03 0
O[Nar] 0.05 0.07 0.01
[R]OP(O)(=O)O[R] 0.05 0.03 0.01
[R]SC([R])=O 0.05 0.04 0.03
[R]C(=O)C1OC1C=C 0.05 0.01 0
[R]C(=O)C(=CO)C(=O)C=CO 0.05 0.05 0
[R]O[Nar] 0.05 0.04 0.02
C=CC=CC#CC#CC=C 0.05 0.01 0
[R]N(C=C)C=O 0.05 0.01 0
[R]C([Nar])=O 0.05 0.03 0.17
[R]OC(=O)C=CO 0.05 0.06 0
[R]S([R])(=O)=O 0.05 0.02 2.43
[R]C(=O)C(=CO)C(O)=O 0.05 0.06 0
[R]OC(O)C1CO1 0.05 0.04 0
C=CC=CC=CC=CC=C 0.05 0.06 0
